Foreign Originating,Foreign Returning,Month,Month Number,U.S. Citizen Originating,U.S. Citizen Returning,Year,__source_file,__source_title
4,5,January,1,25,22,2021,akron.csv,akron
0,1,December,12,0,0,2020,akron.csv,akron
4,0,November,11,3,8,2020,akron.csv,akron
0,3,October,10,2,0,2020,akron.csv,akron
1,1,September,9,0,0,2020,akron.csv,akron
4,2,July,7,0,0,2020,akron.csv,akron
0,0,May,5,0,2,2020,akron.csv,akron
0,8,March,3,57,19,2020,akron.csv,akron
4,3,February,2,13,4,2020,akron.csv,akron
0,1,January,1,15,7,2020,akron.csv,akron
11,3,December,12,21,21,2019,akron.csv,akron
1,2,November,11,45,22,2019,akron.csv,akron
1,5,October,10,36,21,2019,akron.csv,akron
4,9,September,9,21,7,2019,akron.csv,akron
1,9,August,8,35,11,2019,akron.csv,akron
0,5,July,7,63,39,2019,akron.csv,akron
7,11,June,6,39,20,2019,akron.csv,akron
17,11,May,5,51,28,2019,akron.csv,akron
9,9,April,4,24,34,2019,akron.csv,akron
15,15,March,3,37,28,2019,akron.csv,akron
1,7,February,2,26,15,2019,akron.csv,akron
3,5,January,1,19,10,2019,akron.csv,akron
0,0,August,8,10,0,2023,alamosa.csv,alamosa
0,2,January,1,0,0,2022,alamosa.csv,alamosa
23,28,August,8,80,44,2025,albany.csv,albany
34,14,July,7,30,53,2025,albany.csv,albany
236,202,June,6,213,302,2025,albany.csv,albany
15,13,May,5,15,28,2025,albany.csv,albany
12,7,April,4,11,38,2025,albany.csv,albany
8,6,March,3,8,13,2025,albany.csv,albany
24,5,February,2,16,66,2025,albany.csv,albany
25,12,January,1,12,57,2025,albany.csv,albany
24,4,December,12,49,70,2024,albany.csv,albany
15,63,November,11,58,29,2024,albany.csv,albany
25,9,October,10,11,44,2024,albany.csv,albany
19,16,September,9,42,47,2024,albany.csv,albany
27,22,August,8,58,60,2024,albany.csv,albany
32,12,July,7,79,119,2024,albany.csv,albany
21,5,June,6,37,27,2024,albany.csv,albany
9,6,May,5,25,24,2024,albany.csv,albany
15,1,April,4,22,39,2024,albany.csv,albany
12,3,March,3,6,9,2024,albany.csv,albany
5,3,February,2,14,45,2024,albany.csv,albany
20,11,January,1,38,61,2024,albany.csv,albany
2,5,December,12,12,39,2023,albany.csv,albany
33,33,November,11,59,67,2023,albany.csv,albany
12,1,October,10,12,35,2023,albany.csv,albany
15,7,September,9,23,49,2023,albany.csv,albany
42,69,August,8,150,56,2023,albany.csv,albany
32,44,July,7,109,134,2023,albany.csv,albany
35,11,June,6,31,50,2023,albany.csv,albany
42,30,May,5,31,32,2023,albany.csv,albany
8,39,April,4,59,34,2023,albany.csv,albany
3,5,March,3,9,23,2023,albany.csv,albany
9,11,February,2,33,40,2023,albany.csv,albany
4,2,January,1,25,21,2023,albany.csv,albany
62,7,December,12,20,31,2022,albany.csv,albany
13,1,November,11,25,17,2022,albany.csv,albany
8,9,October,10,28,31,2022,albany.csv,albany
20,5,September,9,7,44,2022,albany.csv,albany
38,53,August,8,105,48,2022,albany.csv,albany
9,0,July,7,34,98,2022,albany.csv,albany
40,18,June,6,24,26,2022,albany.csv,albany
19,27,May,5,28,12,2022,albany.csv,albany
16,9,April,4,4,41,2022,albany.csv,albany
11,2,March,3,39,50,2022,albany.csv,albany
11,0,February,2,8,23,2022,albany.csv,albany
1,1,January,1,9,23,2022,albany.csv,albany
11,5,December,12,27,6,2021,albany.csv,albany
2,5,November,11,12,8,2021,albany.csv,albany
7,10,October,10,12,16,2021,albany.csv,albany
11,7,September,9,11,15,2021,albany.csv,albany
11,8,August,8,18,39,2021,albany.csv,albany
26,21,July,7,9,8,2021,albany.csv,albany
4,0,June,6,14,11,2021,albany.csv,albany
0,1,May,5,0,4,2021,albany.csv,albany
48,0,April,4,11,19,2021,albany.csv,albany
2,0,February,2,0,22,2021,albany.csv,albany
1,3,January,1,7,8,2021,albany.csv,albany
1,0,December,12,2,7,2020,albany.csv,albany
12,0,November,11,0,24,2020,albany.csv,albany
2,1,October,10,10,14,2020,albany.csv,albany
9,23,September,9,10,10,2020,albany.csv,albany
4,2,August,8,1,2,2020,albany.csv,albany
0,10,July,7,8,2,2020,albany.csv,albany
0,30,June,6,9,10,2020,albany.csv,albany
0,0,April,4,0,3,2020,albany.csv,albany
13,11,March,3,2,17,2020,albany.csv,albany
39,150,February,2,112,17,2020,albany.csv,albany
28,4,January,1,12,26,2020,albany.csv,albany
41,23,December,12,21,45,2019,albany.csv,albany
12,0,November,11,5,29,2019,albany.csv,albany
30,39,October,10,82,60,2019,albany.csv,albany
13,9,September,9,60,42,2019,albany.csv,albany
39,30,August,8,46,94,2019,albany.csv,albany
37,16,July,7,50,149,2019,albany.csv,albany
28,19,June,6,22,33,2019,albany.csv,albany
43,17,May,5,23,59,2019,albany.csv,albany
22,10,April,4,38,46,2019,albany.csv,albany
26,6,March,3,1,88,2019,albany.csv,albany
4,83,February,2,81,51,2019,albany.csv,albany
20,22,January,1,26,23,2019,albany.csv,albany
39,17,August,8,14,33,2025,albuquerque.csv,albuquerque
14,9,July,7,20,12,2025,albuquerque.csv,albuquerque
9,9,June,6,23,10,2025,albuquerque.csv,albuquerque
14,15,May,5,7,7,2025,albuquerque.csv,albuquerque
4,0,April,4,10,2,2025,albuquerque.csv,albuquerque
14,14,March,3,27,160,2025,albuquerque.csv,albuquerque
21,26,February,2,37,14,2025,albuquerque.csv,albuquerque
0,12,January,1,43,39,2025,albuquerque.csv,albuquerque
14,13,December,12,21,38,2024,albuquerque.csv,albuquerque
6,5,November,11,23,15,2024,albuquerque.csv,albuquerque
9,16,October,10,19,2,2024,albuquerque.csv,albuquerque
4,0,September,9,7,1,2024,albuquerque.csv,albuquerque
11,4,August,8,18,6,2024,albuquerque.csv,albuquerque
18,13,July,7,21,122,2024,albuquerque.csv,albuquerque
8,3,June,6,26,150,2024,albuquerque.csv,albuquerque
20,18,May,5,7,158,2024,albuquerque.csv,albuquerque
4,5,April,4,14,30,2024,albuquerque.csv,albuquerque
16,34,March,3,7,13,2024,albuquerque.csv,albuquerque
13,13,February,2,50,4,2024,albuquerque.csv,albuquerque
8,11,January,1,36,25,2024,albuquerque.csv,albuquerque
5,42,December,12,113,7,2023,albuquerque.csv,albuquerque
6,17,November,11,19,0,2023,albuquerque.csv,albuquerque
6,10,October,10,53,16,2023,albuquerque.csv,albuquerque
2,4,September,9,7,14,2023,albuquerque.csv,albuquerque
3,15,August,8,23,7,2023,albuquerque.csv,albuquerque
0,4,July,7,16,19,2023,albuquerque.csv,albuquerque
0,2,June,6,12,3,2023,albuquerque.csv,albuquerque
16,18,May,5,53,6,2023,albuquerque.csv,albuquerque
22,25,April,4,25,164,2023,albuquerque.csv,albuquerque
10,11,March,3,45,14,2023,albuquerque.csv,albuquerque
26,44,February,2,58,10,2023,albuquerque.csv,albuquerque
1,23,January,1,33,34,2023,albuquerque.csv,albuquerque
37,30,December,12,26,11,2022,albuquerque.csv,albuquerque
