variable,coef,pvalue,abs_coef
DP04_0025M,-0.0199593841965139,0.9999968609697187,0.0199593841965139
DP05_0029M,0.01975088308804443,0.9999981589033761,0.01975088308804443
DP05_0024M,0.019750820350604353,0.9999981589092233,0.019750820350604353
DP04_0140E,-0.019712991556648837,0.9999886673899507,0.019712991556648837
DP03_0020M,-0.01959276573209107,0.9999959816647734,0.01959276573209107
DP02_0058E,0.019564062686661252,0.9999888171541347,0.019564062686661252
DP02_0074M,0.019423956566400113,0.999997239290477,0.019423956566400113
DP03_0001PE,-0.01928112300754479,0.9999906080899177,0.01928112300754479
DP03_0001E,-0.01926767234507113,0.9999906142522684,0.01926767234507113
DP05_0020E,-0.019257894469927192,0.9999906179656795,0.019257894469927192
DP03_0013E,0.01903821849952113,0.9999918366676014,0.01903821849952113
DP03_0007E,-0.018769557394092876,0.9999968257762867,0.018769557394092876
DP02_0142M,-0.018649427262352858,0.9999956236293789,0.018649427262352858
DP05_0071M,-0.018538301395356255,0.9999961935289152,0.018538301395356255
DP02_0076E,-0.018449866739137875,0.9999802902643743,0.018449866739137875
DP02_0013E,0.01828354344195271,0.9999914334669833,0.01828354344195271
DP05_0030E,-0.018226474507432398,0.9999909712865206,0.018226474507432398
DP05_0031E,0.01816147388256531,0.9999909735762041,0.01816147388256531
DP03_0102PE,-0.01813538556555193,0.9999834817367533,0.01813538556555193
DP03_0102E,-0.018130831896262602,0.9999834849441597,0.018130831896262602
DP03_0107E,-0.018088399288990784,0.9999875308180664,0.018088399288990784
DP02_0057E,0.017987396212993736,0.9999907216680645,0.017987396212993736
DP05_0009M,-0.017852299825969413,0.9999973415397815,0.017852299825969413
DP02_0135E,0.017587329778880632,0.9999830844684827,0.017587329778880632
DP02_0117E,0.017560765478225368,0.9999869324944843,0.017560765478225368
DP02_0052PM,0.017497784516297507,0.9999992231566107,0.017497784516297507
DP04_0142E,0.01747339268262656,0.9999845019241507,0.01747339268262656
DP02_0069PE,0.01746868822373153,0.9999986040793062,0.01746868822373153
DP02_0069E,0.01742003162490574,0.9999986079962854,0.01742003162490574
DP04_0039E,-0.01725504670761246,0.9999964749452924,0.01725504670761246
DP04_0138M,0.017202721995155962,0.9999980410482696,0.017202721995155962
DP02_0086E,0.017197860464818016,0.9999903847018856,0.017197860464818016
